"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200201","brazil","new",157,33.7014093030625,-0.720342724578347,"2002","01"
"200201","brazil","cumu",157,33.7014093030625,-0.720342724578347,"2002","01"
"200202","brazil","new",158,33.9160679610438,-0.648520966540361,"2002","02"
"200202","brazil","cumu",315,67.6174772641064,-0.648520966540361,"2002","02"
"200203","brazil","new",114,24.4710870098671,-0.886361958165667,"2002","03"
"200203","brazil","cumu",429,92.0885642739734,-0.886361958165667,"2002","03"
"200204","brazil","new",113,24.2564283518858,-0.859843500380031,"2002","04"
"200204","brazil","cumu",542,116.344992625859,-0.859843500380031,"2002","04"
"200205","brazil","cumu",887,190.402229629404,-0.705688408877849,"2002","05"
"200205","brazil","new",345,74.0572370035451,-0.705688408877849,"2002","05"
"200206","brazil","new",1224,262.742197369099,-0.626010456672538,"2002","06"
"200206","brazil","cumu",2111,453.144426998503,-0.626010456672538,"2002","06"
"200207","brazil","new",4835,1037.87461133954,-0.596019048896506,"2002","07"
"200207","brazil","cumu",6946,1491.01903833804,-0.596019048896506,"2002","07"
"200208","brazil","new",32691,7017.40618806635,-0.517422429861256,"2002","08"
"200208","brazil","cumu",39637,8508.42522640439,-0.517422429861256,"2002","08"
"200209","brazil","cumu",69212,14856.955036201,-0.66245525971693,"2002","09"
"200209","brazil","new",29575,6348.52980979665,-0.66245525971693,"2002","09"
"200210","brazil","cumu",85739,18404.6186766578,-0.688097544219516,"2002","10"
"200210","brazil","new",16527,3547.66364045678,-0.688097544219516,"2002","10"
"200211","brazil","cumu",98686,21183.8043215416,-0.881822111447476,"2002","11"
"200211","brazil","new",12947,2779.18564488376,-0.881822111447476,"2002","11"
"200212","brazil","new",4171,895.341262439961,-0.701259017491212,"2002","12"
"200212","brazil","cumu",102857,22079.1455839815,-0.701259017491212,"2002","12"
"200301","brazil","cumu",104697,22474.1175146671,-1.01084003022186,"2003","01"
"200301","brazil","new",1840,394.971930685574,-1.01084003022186,"2003","01"
"200302","brazil","new",1688,362.343814672418,-1.00619987430142,"2003","02"
"200302","brazil","cumu",106385,22836.4613293395,-1.00619987430142,"2003","02"
"200303","brazil","new",3553,762.682211807523,-0.93363247628093,"2003","03"
"200303","brazil","cumu",109938,23599.1435411471,-0.93363247628093,"2003","03"
"200304","brazil","new",624,133.947002580325,-0.950974368678252,"2003","04"
"200304","brazil","cumu",110562,23733.0905437274,-0.950974368678252,"2003","04"
"200305","brazil","cumu",111465,23926.9273118845,-0.886116309951569,"2003","05"
"200305","brazil","new",903,193.836768157105,-0.886116309951569,"2003","05"
"200306","brazil","cumu",115247,24738.7663563697,-0.778444775817375,"2003","06"
