"year","id_country","fire_type","N","N_km","spei"
"2002","amazon","new",115731,24842.6611468327,-0.361957331370608
"2002","amazon","cumu",115731,24842.6611468327,-0.361957331370608
"2002","brazil","cumu",102857,22079.1455839815,-0.450027172175094
"2002","brazil","new",102857,22079.1455839815,-0.450027172175094
"2003","amazon","new",132704,28486.0625487491,-0.370387135419464
"2003","amazon","cumu",248435,53328.7236955818,-0.370387135419464
"2003","brazil","cumu",213507,45831.1260896113,-0.439021925577442
"2003","brazil","new",110650,23751.9805056297,-0.439021925577442
"2004","amazon","cumu",398853,85617.2497118115,-0.302878452472412
"2004","amazon","new",150418,32288.5260162297,-0.302878452472412
"2004","brazil","cumu",340802,73156.0999573396,-0.368092852413156
"2004","brazil","new",127295,27324.9738677283,-0.368092852413156
"2005","amazon","cumu",550951,118266.40227345,-0.454152499528587
"2005","amazon","new",152098,32649.1525616382,-0.454152499528587
"2005","brazil","cumu",466757,100193.431223373,-0.565932670722463
"2005","brazil","new",125955,27037.3312660334,-0.565932670722463
"2006","amazon","new",89764,19268.6197750325,-0.234316094795866
"2006","amazon","cumu",640715,137535.022048482,-0.234316094795866
"2006","brazil","new",75134,16128.1636087662,-0.330930004337858
"2006","brazil","cumu",541891,116321.594832139,-0.330930004337858
"2007","amazon","new",107338,23041.0310303957,-0.271781480529273
"2007","amazon","cumu",748053,160576.053078878,-0.271781480529273
"2007","brazil","cumu",624396,134032.007408886,-0.458394589923357
"2007","brazil","new",82505,17710.4125767463,-0.458394589923357
"2008","amazon","new",58718,12604.3270793454,-0.139138642200387
"2008","amazon","cumu",806771,173180.380158223,-0.139138642200387
"2008","brazil","new",41932,9001.06684647145,-0.168694021905105
"2008","brazil","cumu",666328,143033.074255357,-0.168694021905105
"2009","amazon","new",43106,9253.07611094149,-0.233014632361681
"2009","amazon","cumu",849877,182433.456269165,-0.233014632361681
"2009","brazil","cumu",698861,150016.564375462,-0.161307143339176
"2009","brazil","new",32533,6983.49012010531,-0.161307143339176
"2010","amazon","new",88329,18960.5846008294,-0.564239567700037
"2010","amazon","cumu",938206,201394.040869994,-0.564239567700037
"2010","brazil","cumu",756714,162435.211715654,-0.605998405333151
"2010","brazil","new",57853,12418.6473401916,-0.605998405333151
"2011","amazon","cumu",972538,208763.701915808,-0.255852259440042
"2011","amazon","new",34332,7369.66104581365,-0.255852259440042
"2011","brazil","cumu",777555,166908.912806642,-0.259682182236923
"2011","brazil","new",20841,4473.70109098807,-0.259682182236923
"2012","amazon","new",46455,9971.96795652083,-0.399941161727907
"2012","amazon","cumu",1018993,218735.669872329,-0.399941161727907
"2012","brazil","cumu",811124,174114.789296416,-0.423160903363773
"2012","brazil","new",33569,7205.87648977392,-0.423160903363773
"2013","amazon","new",28743,6169.93380635622,-0.165414683710365
"2013","amazon","cumu",1047736,224905.603678685,-0.165414683710365
"2013","brazil","cumu",830348,178241.387337448,-0.167476560374283
"2013","brazil","new",19224,4126.59804103232,-0.167476560374283
"2014","amazon","new",39982,8582.48246340794,-0.441016705289105
"2014","amazon","cumu",1087718,233488.086142093,-0.441016705289105
"2014","brazil","new",30312,6506.73324072886,-0.503701192577008
"2014","brazil","cumu",860660,184748.120578177,-0.503701192577008
"2015","amazon","cumu",1149296,246706.336983265,-0.928948250483997
"2015","amazon","new",61578,13218.2508411719,-0.928948250483997
"2015","brazil","cumu",911053,195565.414329828,-1.13500592525684
"2015","brazil","new",50393,10817.2937516511,-1.13500592525684
"2016","amazon","new",56775,12187.2453068877,-0.79925586945412
"2016","amazon","cumu",1206071,258893.582290152,-0.79925586945412
"2016","brazil","cumu",952882,204544.371334528,-0.896924722984943
"2016","brazil","new",41829,8978.95700469938,-0.896924722984943
"2017","amazon","new",58653,12590.3742665766,-0.587875279965748
"2017","amazon","cumu",1264724,271483.956556729,-0.587875279965748
"2017","brazil","cumu",1001203,214916.892346842,-0.701231597541671
"2017","brazil","new",48321,10372.5210123139,-0.701231597541671
"2018","amazon","new",43634,9366.41588235561,-0.397382924606333
"2018","amazon","cumu",1308358,280850.372439085,-0.397382924606333
"2018","brazil","new",30943,6642.18285391506,-0.393662394214712
"2018","brazil","cumu",1032146,221559.075200757,-0.393662394214712
"2019","amazon","cumu",1368245,293705.63548961,-0.450651934794413
"2019","amazon","new",59887,12855.2630505255,-0.450651934794413
"2019","brazil","cumu",1076609,231103.443110579,-0.48041100799671
"2019","brazil","new",44463,9544.3679098221,-0.48041100799671
