"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200201","brazil","new",46,9.87429826713934,-0.720342724578347,"2002","01"
"200201","brazil","cumu",46,9.87429826713934,-0.720342724578347,"2002","01"
"200202","brazil","cumu",122,26.1883562737174,-0.648520966540361,"2002","02"
"200202","brazil","new",76,16.314058006578,-0.648520966540361,"2002","02"
"200203","brazil","new",147,31.5548227232496,-0.886361958165667,"2002","03"
"200203","brazil","cumu",269,57.743178996967,-0.886361958165667,"2002","03"
"200204","brazil","cumu",454,97.4550307235057,-0.859843500380031,"2002","04"
"200204","brazil","new",185,39.7118517265387,-0.859843500380031,"2002","04"
"200205","brazil","new",398,85.4341458765534,-0.705688408877849,"2002","05"
"200205","brazil","cumu",852,182.889176600059,-0.705688408877849,"2002","05"
"200206","brazil","new",2716,583.012915077184,-0.626010456672538,"2002","06"
"200206","brazil","cumu",3568,765.902091677243,-0.626010456672538,"2002","06"
"200207","brazil","cumu",7210,1547.6889240451,-0.596019048896506,"2002","07"
"200207","brazil","new",3642,781.786832367858,-0.596019048896506,"2002","07"
"200208","brazil","new",33149,7115.71985342178,-0.517422429861256,"2002","08"
"200208","brazil","cumu",40359,8663.40877746688,-0.517422429861256,"2002","08"
"200209","brazil","cumu",64375,13818.6511075455,-0.66245525971693,"2002","09"
"200209","brazil","new",24016,5155.24233007866,-0.66245525971693,"2002","09"
"200210","brazil","new",14177,3043.21579420075,-0.688097544219516,"2002","10"
"200210","brazil","cumu",78552,16861.8669017463,-0.688097544219516,"2002","10"
"200211","brazil","new",4451,955.445686674722,-0.881822111447476,"2002","11"
"200211","brazil","cumu",83003,17817.312588421,-0.881822111447476,"2002","11"
"200212","brazil","cumu",84875,18219.153596162,-0.701259017491212,"2002","12"
"200212","brazil","new",1872,401.841007740975,-0.701259017491212,"2002","12"
"200301","brazil","new",445,95.5231028016741,-1.01084003022186,"2003","01"
"200301","brazil","cumu",85320,18314.6766989637,-1.01084003022186,"2003","01"
"200302","brazil","cumu",87445,18770.8263471739,-1.00619987430142,"2003","02"
"200302","brazil","new",2125,456.149648210241,-1.00619987430142,"2003","02"
"200303","brazil","cumu",95757,20555.0691123144,-0.93363247628093,"2003","03"
"200303","brazil","new",8312,1784.24276514048,-0.93363247628093,"2003","03"
"200304","brazil","cumu",96162,20642.0058687968,-0.950974368678252,"2003","04"
"200304","brazil","new",405,86.9367564824225,-0.950974368678252,"2003","04"
"200305","brazil","cumu",96768,20772.0890155335,-0.886116309951569,"2003","05"
"200305","brazil","new",606,130.083146736662,-0.886116309951569,"2003","05"
"200306","brazil","cumu",99486,21355.5312479266,-0.778444775817375,"2003","06"
"200306","brazil","new",2718,583.442232393146,-0.778444775817375,"2003","06"
"200307","brazil","cumu",107845,23149.8629699922,-0.746999251078074,"2003","07"
"200307","brazil","new",8359,1794.3317220656,-0.746999251078074,"2003","07"
"200308","brazil","new",14289,3067.25756389465,-0.611203101261402,"2003","08"
"200308","brazil","cumu",122134,26217.1205338869,-0.611203101261402,"2003","08"
"200309","brazil","cumu",147586,31680.6126968267,-0.682372411690219,"2003","09"
"200309","brazil","new",25452,5463.49216293979,-0.682372411690219,"2003","09"
"200310","brazil","new",6466,1387.98288250702,-0.448271519977269,"2003","10"
"200310","brazil","cumu",154052,33068.5955793337,-0.448271519977269,"2003","10"
"200311","brazil","cumu",157570,33823.7647381119,-0.513789620751726,"2003","11"
"200311","brazil","new",3518,755.169158778178,-0.513789620751726,"2003","11"
"200312","brazil","cumu",160351,34420.7304659578,-0.897816723861962,"2003","12"
"200312","brazil","new",2781,596.965727845968,-0.897816723861962,"2003","12"
"200401","brazil","cumu",160587,34471.3899092414,-0.839430404858328,"2004","01"
"200401","brazil","new",236,50.6594432835844,-0.839430404858328,"2004","01"
"200402","brazil","new",1421,305.029952991413,-0.659145309346292,"2004","02"
"200402","brazil","cumu",162008,34776.4198622328,-0.659145309346292,"2004","02"
"200403","brazil","new",57,12.2355435049335,-0.589670458993667,"2004","03"
"200403","brazil","cumu",162065,34788.6554057378,-0.589670458993667,"2004","03"
"200404","brazil","new",122,26.1883562737174,-0.702344635339163,"2004","04"
"200404","brazil","cumu",162187,34814.8437620115,-0.702344635339163,"2004","04"
"200405","brazil","cumu",163195,35031.2196892566,-0.810794567776166,"2004","05"
"200405","brazil","new",1008,216.37592724514,-0.810794567776166,"2004","05"
"200406","brazil","new",2993,642.473363338001,-0.845671655353164,"2004","06"
"200406","brazil","cumu",166188,35673.6930525946,-0.845671655353164,"2004","06"
"200407","brazil","new",7552,1621.1021850747,-0.803612013628339,"2004","07"
"200407","brazil","cumu",173740,37294.7952376693,-0.803612013628339,"2004","07"
"200408","brazil","new",21597,4635.98303642192,-0.69457282495346,"2004","08"
"200408","brazil","cumu",195337,41930.7782740913,-0.69457282495346,"2004","08"
"200409","brazil","cumu",220573,47347.9041669071,-0.460206022816468,"2004","09"
"200409","brazil","new",25236,5417.12589281583,-0.460206022816468,"2004","09"
"200410","brazil","cumu",231708,49738.1283235287,-0.474337896742268,"2004","10"
"200410","brazil","new",11135,2390.22415662166,-0.474337896742268,"2004","10"
"200411","brazil","cumu",236534,50774.0710069465,-0.734410281666193,"2004","11"
"200411","brazil","new",4826,1035.94268341771,-0.734410281666193,"2004","11"
"200412","brazil","new",3989,856.273386687366,-1.04028263365257,"2004","12"
"200412","brazil","cumu",240523,51630.3443936338,-1.04028263365257,"2004","12"
"200501","brazil","new",328,70.4080398178631,-1.1299052566307,"2005","01"
