"year","id_country","fire_type","N","N_km","spei"
"2002","amazon","cumu",98330,21107.3858393002,-0.361957331370608
"2002","amazon","new",98330,21107.3858393002,-0.361957331370608
"2002","brazil","new",84871,18218.2949615301,-0.450027172175094
"2002","brazil","cumu",84871,18218.2949615301,-0.450027172175094
"2003","amazon","new",90558,19439.0587494697,-0.370387135419464
"2003","amazon","cumu",188888,40546.4445887699,-0.370387135419464
"2003","brazil","new",75478,16202.0061871118,-0.439021925577442
"2003","brazil","cumu",160349,34420.3011486419,-0.439021925577442
"2004","amazon","new",108739,23341.7678102275,-0.302878452472412
"2004","amazon","cumu",297627,63888.2123989974,-0.302878452472412
"2004","brazil","cumu",240558,51637.8574466632,-0.368092852413156
"2004","brazil","new",80209,17217.5562980213,-0.368092852413156
"2005","amazon","new",120986,25970.6923945244,-0.454152499528587
"2005","amazon","cumu",418613,89858.9047935218,-0.454152499528587
"2005","brazil","cumu",335105,71933.1895828202,-0.565932670722463
"2005","brazil","new",94547,20295.332136157,-0.565932670722463
"2006","amazon","new",50452,10829.958612472,-0.234316094795866
"2006","amazon","cumu",469065,100688.863405994,-0.234316094795866
"2006","brazil","new",40873,8773.74332766927,-0.330930004337858
"2006","brazil","cumu",375978,80706.9329104895,-0.330930004337858
"2007","amazon","new",97722,20976.8733752476,-0.271781480529273
"2007","amazon","cumu",566787,121665.736781241,-0.271781480529273
"2007","brazil","cumu",452781,97193.3618194265,-0.458394589923357
"2007","brazil","new",76803,16486.428908937,-0.458394589923357
"2008","amazon","cumu",595993,127935.057546243,-0.139138642200387
"2008","amazon","new",29206,6269.32076500156,-0.139138642200387
"2008","brazil","new",21178,4546.04105872776,-0.168694021905105
"2008","brazil","cumu",473959,101739.402878154,-0.168694021905105
"2009","amazon","cumu",613038,131593.914371534,-0.233014632361681
"2009","amazon","new",17045,3658.85682529109,-0.233014632361681
"2009","brazil","cumu",487506,104647.383717827,-0.161307143339176
"2009","brazil","new",13547,2907.98083967254,-0.161307143339176
"2010","amazon","new",110124,23639.0700515316,-0.564239567700037
"2010","amazon","cumu",723162,155232.984423066,-0.564239567700037
"2010","brazil","cumu",547304,117483.542147792,-0.605998405333151
"2010","brazil","new",59798,12836.1584299652,-0.605998405333151
"2011","amazon","cumu",744947,159909.323287188,-0.255852259440042
"2011","amazon","new",21785,4676.3388641224,-0.255852259440042
"2011","brazil","new",9925,2130.4871804643,-0.259682182236923
"2011","brazil","cumu",557229,119614.029328256,-0.259682182236923
"2012","amazon","new",23579,5061.43649654084,-0.399941161727907
"2012","amazon","cumu",768526,164970.759783729,-0.399941161727907
"2012","brazil","cumu",576150,123675.58579592,-0.423160903363773
"2012","brazil","new",18921,4061.55646766399,-0.423160903363773
"2013","amazon","cumu",778234,167054.666035411,-0.165414683710365
"2013","amazon","new",9708,2083.90625168236,-0.165414683710365
"2013","brazil","cumu",582088,124950.228907013,-0.167476560374283
"2013","brazil","new",5938,1274.6431110929,-0.167476560374283
"2014","amazon","cumu",797200,171125.882142684,-0.441016705289105
"2014","amazon","new",18966,4071.21610727315,-0.441016705289105
"2014","brazil","new",14405,3092.15796822048,-0.503701192577008
"2014","brazil","cumu",596493,128042.386875234,-0.503701192577008
"2015","amazon","new",46818,10049.889049368,-0.928948250483997
"2015","amazon","cumu",844018,181175.771192052,-0.928948250483997
"2015","brazil","cumu",639332,137238.149124494,-1.13500592525684
"2015","brazil","new",42839,9195.76224926048,-1.13500592525684
"2016","amazon","cumu",884945,189961.106087253,-0.79925586945412
"2016","amazon","new",40927,8785.33489520026,-0.79925586945412
"2016","brazil","new",32422,6959.66300906939,-0.896924722984943
"2016","brazil","cumu",671754,144197.812133564,-0.896924722984943
"2017","amazon","cumu",929770,199583.180431264,-0.587875279965748
"2017","amazon","new",44825,9622.07434401133,-0.587875279965748
"2017","brazil","cumu",712906,153031.44522681,-0.701231597541671
"2017","brazil","new",41152,8833.63309324605,-0.701231597541671
"2018","amazon","new",26326,5651.10383001544,-0.397382924606333
"2018","amazon","cumu",956096,205234.284261279,-0.397382924606333
"2018","brazil","cumu",728946,156474.570100829,-0.393662394214712
"2018","brazil","new",16040,3443.12487401989,-0.393662394214712
"2019","amazon","new",41084,8819.03630450332,-0.450651934794413
"2019","amazon","cumu",997180,214053.320565783,-0.450651934794413
"2019","brazil","new",33997,7297.75039538992,-0.48041100799671
"2019","brazil","cumu",762943,163772.320496219,-0.48041100799671
