"Nspp","country","pct","year","fire"
11,"brazil",5,2002,"burntArea"
78,"brazil",5,2003,"burntArea"
214,"brazil",5,2004,"burntArea"
392,"brazil",5,2005,"burntArea"
458,"brazil",5,2006,"burntArea"
594,"brazil",5,2007,"burntArea"
617,"brazil",5,2008,"burntArea"
630,"brazil",5,2009,"burntArea"
732,"brazil",5,2010,"burntArea"
766,"brazil",5,2011,"burntArea"
787,"brazil",5,2012,"burntArea"
798,"brazil",5,2013,"burntArea"
815,"brazil",5,2014,"burntArea"
870,"brazil",5,2015,"burntArea"
914,"brazil",5,2016,"burntArea"
980,"brazil",5,2017,"burntArea"
1007,"brazil",5,2018,"burntArea"
1077,"brazil",5,2019,"burntArea"
1,"brazil",10,2002,"burntArea"
8,"brazil",10,2003,"burntArea"
23,"brazil",10,2004,"burntArea"
78,"brazil",10,2005,"burntArea"
109,"brazil",10,2006,"burntArea"
176,"brazil",10,2007,"burntArea"
186,"brazil",10,2008,"burntArea"
191,"brazil",10,2009,"burntArea"
245,"brazil",10,2010,"burntArea"
254,"brazil",10,2011,"burntArea"
266,"brazil",10,2012,"burntArea"
271,"brazil",10,2013,"burntArea"
278,"brazil",10,2014,"burntArea"
321,"brazil",10,2015,"burntArea"
339,"brazil",10,2016,"burntArea"
403,"brazil",10,2017,"burntArea"
415,"brazil",10,2018,"burntArea"
445,"brazil",10,2019,"burntArea"
0,"brazil",15,2002,"burntArea"
2,"brazil",15,2003,"burntArea"
4,"brazil",15,2004,"burntArea"
11,"brazil",15,2005,"burntArea"
18,"brazil",15,2006,"burntArea"
46,"brazil",15,2007,"burntArea"
53,"brazil",15,2008,"burntArea"
53,"brazil",15,2009,"burntArea"
77,"brazil",15,2010,"burntArea"
81,"brazil",15,2011,"burntArea"
90,"brazil",15,2012,"burntArea"
98,"brazil",15,2013,"burntArea"
102,"brazil",15,2014,"burntArea"
113,"brazil",15,2015,"burntArea"
126,"brazil",15,2016,"burntArea"
182,"brazil",15,2017,"burntArea"
185,"brazil",15,2018,"burntArea"
199,"brazil",15,2019,"burntArea"
16,"amazon",5,2002,"burntArea"
85,"amazon",5,2003,"burntArea"
241,"amazon",5,2004,"burntArea"
464,"amazon",5,2005,"burntArea"
566,"amazon",5,2006,"burntArea"
714,"amazon",5,2007,"burntArea"
753,"amazon",5,2008,"burntArea"
770,"amazon",5,2009,"burntArea"
984,"amazon",5,2010,"burntArea"
1055,"amazon",5,2011,"burntArea"
1085,"amazon",5,2012,"burntArea"
1099,"amazon",5,2013,"burntArea"
1119,"amazon",5,2014,"burntArea"
1193,"amazon",5,2015,"burntArea"
1283,"amazon",5,2016,"burntArea"
1378,"amazon",5,2017,"burntArea"
1433,"amazon",5,2018,"burntArea"
1536,"amazon",5,2019,"burntArea"
1,"amazon",10,2002,"burntArea"
9,"amazon",10,2003,"burntArea"
27,"amazon",10,2004,"burntArea"
84,"amazon",10,2005,"burntArea"
121,"amazon",10,2006,"burntArea"
200,"amazon",10,2007,"burntArea"
212,"amazon",10,2008,"burntArea"
222,"amazon",10,2009,"burntArea"
313,"amazon",10,2010,"burntArea"
341,"amazon",10,2011,"burntArea"
364,"amazon",10,2012,"burntArea"
371,"amazon",10,2013,"burntArea"
386,"amazon",10,2014,"burntArea"
427,"amazon",10,2015,"burntArea"
456,"amazon",10,2016,"burntArea"
519,"amazon",10,2017,"burntArea"
539,"amazon",10,2018,"burntArea"
577,"amazon",10,2019,"burntArea"
0,"amazon",15,2002,"burntArea"
2,"amazon",15,2003,"burntArea"
5,"amazon",15,2004,"burntArea"
14,"amazon",15,2005,"burntArea"
21,"amazon",15,2006,"burntArea"
