"sppN","year","pct","taxon","country"
2843,2002,0,"all_vertebrate","amazon"
2927,2003,0,"all_vertebrate","amazon"
2975,2004,0,"all_vertebrate","amazon"
2994,2005,0,"all_vertebrate","amazon"
3006,2006,0,"all_vertebrate","amazon"
3012,2007,0,"all_vertebrate","amazon"
3013,2008,0,"all_vertebrate","amazon"
3015,2009,0,"all_vertebrate","amazon"
3018,2010,0,"all_vertebrate","amazon"
3018,2011,0,"all_vertebrate","amazon"
3018,2012,0,"all_vertebrate","amazon"
3019,2013,0,"all_vertebrate","amazon"
3020,2014,0,"all_vertebrate","amazon"
3025,2015,0,"all_vertebrate","amazon"
3026,2016,0,"all_vertebrate","amazon"
3026,2017,0,"all_vertebrate","amazon"
3027,2018,0,"all_vertebrate","amazon"
3028,2019,0,"all_vertebrate","amazon"
1802,2002,0,"all_vertebrate","brazil"
1815,2003,0,"all_vertebrate","brazil"
1818,2004,0,"all_vertebrate","brazil"
1818,2005,0,"all_vertebrate","brazil"
1819,2006,0,"all_vertebrate","brazil"
1829,2007,0,"all_vertebrate","brazil"
1829,2008,0,"all_vertebrate","brazil"
1829,2009,0,"all_vertebrate","brazil"
1829,2010,0,"all_vertebrate","brazil"
1829,2011,0,"all_vertebrate","brazil"
1829,2012,0,"all_vertebrate","brazil"
1829,2013,0,"all_vertebrate","brazil"
1829,2014,0,"all_vertebrate","brazil"
1830,2015,0,"all_vertebrate","brazil"
1830,2016,0,"all_vertebrate","brazil"
1830,2017,0,"all_vertebrate","brazil"
1830,2018,0,"all_vertebrate","brazil"
1830,2019,0,"all_vertebrate","brazil"
0,2002,5,"all_vertebrate","amazon"
2,2003,5,"all_vertebrate","amazon"
22,2004,5,"all_vertebrate","amazon"
67,2005,5,"all_vertebrate","amazon"
116,2006,5,"all_vertebrate","amazon"
180,2007,5,"all_vertebrate","amazon"
220,2008,5,"all_vertebrate","amazon"
244,2009,5,"all_vertebrate","amazon"
303,2010,5,"all_vertebrate","amazon"
322,2011,5,"all_vertebrate","amazon"
347,2012,5,"all_vertebrate","amazon"
358,2013,5,"all_vertebrate","amazon"
386,2014,5,"all_vertebrate","amazon"
429,2015,5,"all_vertebrate","amazon"
476,2016,5,"all_vertebrate","amazon"
520,2017,5,"all_vertebrate","amazon"
551,2018,5,"all_vertebrate","amazon"
604,2019,5,"all_vertebrate","amazon"
0,2002,5,"all_vertebrate","brazil"
2,2003,5,"all_vertebrate","brazil"
18,2004,5,"all_vertebrate","brazil"
49,2005,5,"all_vertebrate","brazil"
88,2006,5,"all_vertebrate","brazil"
128,2007,5,"all_vertebrate","brazil"
