"sppN","year","pct","taxon","country"
2574,2002,0,"all_vertebrate","amazon"
2667,2003,0,"all_vertebrate","amazon"
2738,2004,0,"all_vertebrate","amazon"
2886,2005,0,"all_vertebrate","amazon"
2905,2006,0,"all_vertebrate","amazon"
2917,2007,0,"all_vertebrate","amazon"
2925,2008,0,"all_vertebrate","amazon"
2932,2009,0,"all_vertebrate","amazon"
2963,2010,0,"all_vertebrate","amazon"
2966,2011,0,"all_vertebrate","amazon"
2968,2012,0,"all_vertebrate","amazon"
2971,2013,0,"all_vertebrate","amazon"
2972,2014,0,"all_vertebrate","amazon"
2977,2015,0,"all_vertebrate","amazon"
2985,2016,0,"all_vertebrate","amazon"
2988,2017,0,"all_vertebrate","amazon"
2989,2018,0,"all_vertebrate","amazon"
2995,2019,0,"all_vertebrate","amazon"
1726,2002,0,"all_vertebrate","brazil"
1764,2003,0,"all_vertebrate","brazil"
1775,2004,0,"all_vertebrate","brazil"
1802,2005,0,"all_vertebrate","brazil"
1813,2006,0,"all_vertebrate","brazil"
1814,2007,0,"all_vertebrate","brazil"
1820,2008,0,"all_vertebrate","brazil"
1823,2009,0,"all_vertebrate","brazil"
1823,2010,0,"all_vertebrate","brazil"
1824,2011,0,"all_vertebrate","brazil"
1824,2012,0,"all_vertebrate","brazil"
1824,2013,0,"all_vertebrate","brazil"
1825,2014,0,"all_vertebrate","brazil"
1826,2015,0,"all_vertebrate","brazil"
1827,2016,0,"all_vertebrate","brazil"
1828,2017,0,"all_vertebrate","brazil"
1828,2018,0,"all_vertebrate","brazil"
1828,2019,0,"all_vertebrate","brazil"
0,2002,5,"all_vertebrate","amazon"
1,2003,5,"all_vertebrate","amazon"
15,2004,5,"all_vertebrate","amazon"
52,2005,5,"all_vertebrate","amazon"
63,2006,5,"all_vertebrate","amazon"
107,2007,5,"all_vertebrate","amazon"
118,2008,5,"all_vertebrate","amazon"
126,2009,5,"all_vertebrate","amazon"
194,2010,5,"all_vertebrate","amazon"
205,2011,5,"all_vertebrate","amazon"
217,2012,5,"all_vertebrate","amazon"
220,2013,5,"all_vertebrate","amazon"
225,2014,5,"all_vertebrate","amazon"
248,2015,5,"all_vertebrate","amazon"
262,2016,5,"all_vertebrate","amazon"
281,2017,5,"all_vertebrate","amazon"
290,2018,5,"all_vertebrate","amazon"
306,2019,5,"all_vertebrate","amazon"
0,2002,5,"all_vertebrate","brazil"
1,2003,5,"all_vertebrate","brazil"
11,2004,5,"all_vertebrate","brazil"
26,2005,5,"all_vertebrate","brazil"
32,2006,5,"all_vertebrate","brazil"
60,2007,5,"all_vertebrate","brazil"
69,2008,5,"all_vertebrate","brazil"
69,2009,5,"all_vertebrate","brazil"
93,2010,5,"all_vertebrate","brazil"
99,2011,5,"all_vertebrate","brazil"
108,2012,5,"all_vertebrate","brazil"
109,2013,5,"all_vertebrate","brazil"
114,2014,5,"all_vertebrate","brazil"
137,2015,5,"all_vertebrate","brazil"
141,2016,5,"all_vertebrate","brazil"
155,2017,5,"all_vertebrate","brazil"
162,2018,5,"all_vertebrate","brazil"
174,2019,5,"all_vertebrate","brazil"
0,2002,10,"all_vertebrate","amazon"
0,2003,10,"all_vertebrate","amazon"
0,2004,10,"all_vertebrate","amazon"
1,2005,10,"all_vertebrate","amazon"
2,2006,10,"all_vertebrate","amazon"
8,2007,10,"all_vertebrate","amazon"
10,2008,10,"all_vertebrate","amazon"
10,2009,10,"all_vertebrate","amazon"
33,2010,10,"all_vertebrate","amazon"
37,2011,10,"all_vertebrate","amazon"
42,2012,10,"all_vertebrate","amazon"
46,2013,10,"all_vertebrate","amazon"
48,2014,10,"all_vertebrate","amazon"
53,2015,10,"all_vertebrate","amazon"
59,2016,10,"all_vertebrate","amazon"
66,2017,10,"all_vertebrate","amazon"
67,2018,10,"all_vertebrate","amazon"
75,2019,10,"all_vertebrate","amazon"
0,2002,10,"all_vertebrate","brazil"
0,2003,10,"all_vertebrate","brazil"
0,2004,10,"all_vertebrate","brazil"
0,2005,10,"all_vertebrate","brazil"
1,2006,10,"all_vertebrate","brazil"
6,2007,10,"all_vertebrate","brazil"
7,2008,10,"all_vertebrate","brazil"
8,2009,10,"all_vertebrate","brazil"
15,2010,10,"all_vertebrate","brazil"
16,2011,10,"all_vertebrate","brazil"
17,2012,10,"all_vertebrate","brazil"
19,2013,10,"all_vertebrate","brazil"
20,2014,10,"all_vertebrate","brazil"
22,2015,10,"all_vertebrate","brazil"
22,2016,10,"all_vertebrate","brazil"
26,2017,10,"all_vertebrate","brazil"
28,2018,10,"all_vertebrate","brazil"
30,2019,10,"all_vertebrate","brazil"
0,2002,15,"all_vertebrate","amazon"
0,2003,15,"all_vertebrate","amazon"
0,2004,15,"all_vertebrate","amazon"
0,2005,15,"all_vertebrate","amazon"
0,2006,15,"all_vertebrate","amazon"
0,2007,15,"all_vertebrate","amazon"
0,2008,15,"all_vertebrate","amazon"
0,2009,15,"all_vertebrate","amazon"
2,2010,15,"all_vertebrate","amazon"
2,2011,15,"all_vertebrate","amazon"
2,2012,15,"all_vertebrate","amazon"
2,2013,15,"all_vertebrate","amazon"
4,2014,15,"all_vertebrate","amazon"
5,2015,15,"all_vertebrate","amazon"
7,2016,15,"all_vertebrate","amazon"
8,2017,15,"all_vertebrate","amazon"
8,2018,15,"all_vertebrate","amazon"
9,2019,15,"all_vertebrate","amazon"
0,2002,15,"all_vertebrate","brazil"
0,2003,15,"all_vertebrate","brazil"
0,2004,15,"all_vertebrate","brazil"
0,2005,15,"all_vertebrate","brazil"
0,2006,15,"all_vertebrate","brazil"
0,2007,15,"all_vertebrate","brazil"
0,2008,15,"all_vertebrate","brazil"
0,2009,15,"all_vertebrate","brazil"
1,2010,15,"all_vertebrate","brazil"
1,2011,15,"all_vertebrate","brazil"
1,2012,15,"all_vertebrate","brazil"
1,2013,15,"all_vertebrate","brazil"
3,2014,15,"all_vertebrate","brazil"
4,2015,15,"all_vertebrate","brazil"
5,2016,15,"all_vertebrate","brazil"
6,2017,15,"all_vertebrate","brazil"
6,2018,15,"all_vertebrate","brazil"
7,2019,15,"all_vertebrate","brazil"
